Ident,Type,Origin,Origin Name,Origin City,Destination,Destination Name,Destination City,Departure Time,Arrival Time,Enroute
SKW5348,CRJ7,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KSFO,San Francisco Int'l,"San Francisco, CA",2017-02-12 06:18:00,2017-02-12 07:23:00,2:05
DAL1995,MD90,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KATL,Hartsfield-Jackson Intl,"Atlanta, GA",2017-02-12 06:24:00,2017-02-12 10:55:00,2:31
ASH5930,CRJ9,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",2017-02-12 06:28:00,2017-02-12 07:24:00,0:56
FDX629,A306,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KLBB,Lubbock Smith Intl,"Lubbock, TX",2017-02-12 06:52:00,2017-02-12 08:32:00,0:40
SWA2334,B733,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KHOU,William P Hobby,"Houston, TX",2017-02-12 07:02:00,2017-02-12 09:44:00,1:42
AAY470,MD80,KLAS,Harry Reid Intl,"Las Vegas, NV",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-12 07:05:00,2017-02-12 09:08:00,1:03
SWA3595,B738,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KLAS,Harry Reid Intl,"Las Vegas, NV",2017-02-12 07:15:00,2017-02-12 07:25:00,1:09
SWA2168,B737,KHOU,William P Hobby,"Houston, TX",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-12 07:23:00,2017-02-12 08:10:00,1:46
UAL382,A319,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KDEN,Denver Intl,"Denver, CO",2017-02-12 07:33:00,2017-02-12 08:25:00,0:52
SWA4827,B737,KLAS,Harry Reid Intl,"Las Vegas, NV",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-12 07:59:00,2017-02-12 10:05:00,1:06
LOF4780,E145,KDEN,Denver Intl,"Denver, CO",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-12 08:06:00,2017-02-12 09:04:00,0:58
SWA2342,B737,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KDEN,Denver Intl,"Denver, CO",2017-02-12 08:14:00,2017-02-12 09:05:00,0:51
AAL1282,B738,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KDFW,Dallas-Fort Worth Intl,"Dallas-Fort Worth, TX",2017-02-12 08:17:00,2017-02-12 10:33:00,1:16
